# Created by Octave 4.2.2, Sat May 12 20:51:15 2018 GMT <unknown@unknown>
# name: data
# type: matrix
# rows: 100
# columns: 2
 1 -11.4441755961059
 2 8.612675458084997
 3 -8.588061598933237
 4 -2.343541179202624
 5 5.235341043364935
 6 -1.171362687337349
 7 5.990332065595868
 8 0.3329969141712326
 9 -10.60028415068588
 10 -6.595044884754373
 11 -9.396756635082262
 12 -2.890993690304665
 13 19.35839861648946
 14 22.99018820833331
 15 6.699781393243317
 16 32.25668059773093
 17 2.017647942425983
 18 15.41408349682337
 19 34.89429109044656
 20 6.326547125980657
 21 16.2077917206678
 22 23.62968750970319
 23 22.56162709827238
 24 22.34178853512124
 25 23.56404739132103
 26 24.34880960966785
 27 36.37273079080441
 28 26.64829416105683
 29 31.37855332129319
 30 10.34730625066792
 31 27.97470248006523
 32 24.90307420885983
 33 29.72447585313671
 34 29.83457808688375
 35 33.60274394126559
 36 35.52965255418015
 37 29.403940276687
 38 18.40358805649274
 39 46.35545905579097
 40 23.60653628737776
 41 58.26798082332742
 42 41.12776241034735
 43 24.75486155714216
 44 35.76091335920213
 45 42.4245382279732
 46 45.03542483424851
 47 39.40709711467917
 48 50.38245744646519
 49 53.87727735127769
 50 50.69012577502153
 51 68.34397365458753
 52 54.54338807285953
 53 65.68950372337872
 54 46.42238509261429
 55 62.00478655139284
 56 57.60973367249024
 57 56.53796235282186
 58 68.90488612508892
 59 65.89150891865577
 60 63.34743133749618
 61 70.37582042388235
 62 64.01942948745739
 63 52.59812664925576
 64 59.35178958301358
 65 56.52661698040541
 66 68.10591931951416
 67 82.6379648555221
 68 78.73016588240151
 69 81.2703126209542
 70 72.33939107804953
 71 79.41591396414766
 72 70.06722607675903
 73 79.17949377898347
 74 58.53663220338549
 75 70.71178469315154
 76 75.13635559308396
 77 71.1149517077035
 78 75.34309670665024
 79 80.2552148541694
 80 66.06250322717928
 81 76.29667562460375
 82 86.93262576195383
 83 67.16480467691817
 84 83.13083902449877
 85 85.83251315446311
 86 82.77722486090616
 87 83.07030650801191
 88 83.48056899790608
 89 96.82581207450926
 90 84.36772447756778
 91 107.1602434120821
 92 92.91823169363441
 93 97.26701387938738
 94 106.7290560686072
 95 105.0582637582402
 96 99.20395669870429
 97 111.1283474269315
 98 92.80818111337079
 99 87.57295437172711
 100 82.25672331500463


