# Created by Octave 4.2.2, Sat May 05 07:21:56 2018 GMT <unknown@unknown>
# name: Iteration
# type: matrix
# rows: 100
# columns: 2
 1 3368.079937086523
 2 354.0467980986372
 3 39.30507353094572
 4 6.438023969786215
 5 3.00585942609574
 6 2.647445499365811
 7 2.610009312896613
 8 2.606091366821184
 9 2.605673578368
 10 2.605621296242821
 11 2.605607183126554
 12 2.605597056677799
 13 2.60558734739067
 14 2.605577682517883
 15 2.605568023135059
 16 2.605558365177414
 17 2.605548708220404
 18 2.605539052219609
 19 2.605529397170305
 20 2.605519743071917
 21 2.605510089924302
 22 2.605500437727359
 23 2.605490786480993
 24 2.605481136185112
 25 2.605471486839622
 26 2.605461838444431
 27 2.605452190999442
 28 2.605442544504563
 29 2.605432898959702
 30 2.605423254364764
 31 2.605413610719654
 32 2.605403968024282
 33 2.605394326278552
 34 2.60538468548237
 35 2.605375045635645
 36 2.605365406738281
 37 2.605355768790186
 38 2.605346131791267
 39 2.605336495741427
 40 2.605326860640576
 41 2.60531722648862
 42 2.605307593285463
 43 2.605297961031016
 44 2.605288329725183
 45 2.605278699367871
 46 2.605269069958985
 47 2.605259441498435
 48 2.605249813986124
 49 2.605240187421961
 50 2.605230561805852
 51 2.605220937137704
 52 2.605211313417422
 53 2.605201690644915
 54 2.605192068820086
 55 2.605182447942846
 56 2.6051728280131
 57 2.605163209030753
 58 2.605153590995715
 59 2.60514397390789
 60 2.605134357767185
 61 2.605124742573507
 62 2.605115128326766
 63 2.605105515026861
 64 2.605095902673707
 65 2.605086291267206
 66 2.605076680807267
 67 2.605067071293795
 68 2.605057462726699
 69 2.605047855105884
 70 2.605038248431256
 71 2.605028642702723
 72 2.605019037920192
 73 2.605009434083572
 74 2.604999831192768
 75 2.604990229247683
 76 2.60498062824823
 77 2.60497102819431
 78 2.604961429085836
 79 2.60495183092271
 80 2.604942233704843
 81 2.604932637432138
 82 2.604923042104503
 83 2.604913447721847
 84 2.604903854284076
 85 2.604894261791095
 86 2.604884670242813
 87 2.604875079639136
 88 2.604865489979972
 89 2.604855901265228
 90 2.604846313494809
 91 2.604836726668625
 92 2.604827140786581
 93 2.604817555848582
 94 2.604807971854539
 95 2.604798388804358
 96 2.604788806697944
 97 2.604779225535205
 98 2.604769645316051
 99 2.604760066040387
 100 2.604750487708117


